symbol,search_terms
NTRS,NORTHERN TRUSTS|Northern Trusts|$NTRS|NTRSs|Northern Trust|NORTHERN TRUST|northern trusts|northern trust|NTRS|$NTRSs
NOC,$NOC|$NOCs|NORTHROP GRUMMAN|northrop grummans|Northrop Grumman|NORTHROP GRUMMANS|northrop grumman|Northrop Grummans|NOCs|NOC
NCLH,NORWEGIAN CRUISE LINE HOLDINGS|NCLH|$NCLHs|NCLHs|$NCLH|norwegian cruise line holdings|Norwegian Cruise Line Holdings
NRG,NRG Energy|$NRGs|NRG|nrg energy|nrg energys|NRG ENERGYS|NRG Energys|NRG ENERGY|NRGs|$NRG
NUE,NUCORS|$NUEs|NUE|Nucor|Nucors|nucor|NUEs|NUCOR|nucors|$NUE
NVDA,$NVDAs|NVIDIAS|$NVDA|Nvidias|nvidia|NVDA|nvidias|Nvidia|NVDAs|NVIDIA
NVR,"nvr, inc.s|nvr|NVR, Inc.|NVRs|$NVR|$NVRs|NVR, INC.S|NVR, Inc.s|nvrs|NVR|NVRS|nvr, inc.|NVR, INC."
NXPI,NXP Semiconductors|nxp semiconductors|$NXPI|NXPIs|NXP SEMICONDUCTORS|NXPI|$NXPIs
ORLY,O'Reilly Auto Parts|$ORLYs|o'reilly auto parts|ORLY|$ORLY|O'REILLY AUTO PARTS|OREILLY AUTO PARTS|oreilly auto parts|ORLYs|OReilly Auto Parts
OXY,$OXYs|occidental petroleums|OCCIDENTAL PETROLEUM|OXY|occidental petroleum|OCCIDENTAL PETROLEUMS|Occidental Petroleum|OXYs|Occidental Petroleums|$OXY
ODFL,ODFLs|$ODFL|$ODFLs|OLD DOMINION|Old Dominion|ODFL|old dominions|old dominion|OLD DOMINIONS|Old Dominions
OMC,omnicoms|Omnicom|$OMCs|OMNICOMS|Omnicom Groups|Omnicoms|omnicom groups|OMCs|OMC|Omnicom Group|OMNICOM GROUPS|omnicom|OMNICOM|$OMC|OMNICOM GROUP|omnicom group
ON,ON Semiconductor|on semiconductors|ON SEMICONDUCTORS|$ON|ON SEMICONDUCTOR|ON Semiconductors|on semiconductor|$ONs
OKE,oneok|OKEs|oneoks|ONEOKS|$OKEs|$OKE|ONEOKs|OKE|ONEOK
ORCL,ORACLES|Oracle Corporation|oracle corporations|oracles|ORACLE CORPORATION|ORCLs|oracle corporation|Oracle|Oracles|ORCL|oracle|ORACLE|$ORCLs|$ORCL|ORACLE CORPORATIONS|Oracle Corporations
OTIS,Otis Worldwide|Otis Worldwides|$OTIS|$OTISs|OTIS WORLDWIDE|OTISs|OTIS|otis worldwides|OTIS WORLDWIDES|otis worldwide
PCAR,paccars|$PCAR|$PCARs|PACCAR|PCARs|paccar|PACCARS|Paccar|Paccars|PCAR
PKG,PKG|PKGs|$PKG|$PKGs|Packaging Corporation of America|packaging corporation of america|PACKAGING CORPORATION OF AMERICA|Packaging Corporation of Americas|packaging corporation of americas|PACKAGING CORPORATION OF AMERICAS
PLTR,PALANTIR|PLTRs|Palantir|Palantir Technologies|Palantirs|$PLTRs|PALANTIRS|palantir|palantir technologies|PALANTIR TECHNOLOGIES|palantirs|PLTR|$PLTR
PANW,$PANWs|PANW|PALO ALTO NETWORKS|PANWs|palo alto networks|Palo Alto Networks|$PANW
PARA,Paramount|$PARAs|PARAMOUNT GLOBAL|PARAs|PARA|paramounts|paramount globals|PARAMOUNT|Paramounts|paramount|$PARA|Paramount Globals|Paramount Global|PARAMOUNTS|PARAMOUNT GLOBALS|paramount global
PH,Parker Hannifin|PARKER HANNIFIN|$PH|Parker Hannifins|parker hannifins|PARKER HANNIFINS|$PHs|parker hannifin
PAYX,PAYCHEX|Paychexs|PAYX|PAYXs|Paychex|$PAYX|PAYCHEXS|$PAYXs|paychex|paychexs
PAYC,$PAYCs|paycom|Paycoms|paycoms|$PAYC|Paycom|PAYC|PAYCOM|PAYCOMS|PAYCs
PYPL,paypal|PayPals|$PYPLs|PYPLs|PAYPAL|PYPL|PayPal|$PYPL|PAYPALS|paypals
PNR,PENTAIR|pentair|$PNR|Pentair|Pentairs|PNRs|pentairs|$PNRs|PNR|PENTAIRS
PEP,PEPs|PepsiCos|PEPSI|pepsico|pepsi|Pepsi|PEPSICOS|$PEPs|PEPSICO|PepsiCo|PEP|Pepsis|$PEP|pepsicos|pepsis|PEPSIS
PFE,pfizer|PFIZER|$PFEs|PFEs|Pfizers|PFE|$PFE|pfizers|PFIZERS|Pfizer
PCG,$PCGs|PG&E CORPORATIONS|pg&e|PG&E Corporations|pg&e corporation|PCGs|PG&Es|PG&ES|PG&E|PG&E CORPORATION|pg&e corporations|PCG|$PCG|pg&es|PG&E Corporation
PM,Philip Morris International|PHILIP MORRIS INTERNATIONAL|Philip Morris Internationals|$PM|philip morris international|philip morris internationals|PHILIP MORRIS INTERNATIONALS|$PMs
PSX,phillips 66s|PHILLIPS 66S|PSX|PSXs|Phillips 66|$PSXs|PHILLIPS 66|phillips 66|Phillips 66s|$PSX
PNW,PNWs|PNW|$PNWs|PINNACLE WEST|Pinnacle West|pinnacle wests|$PNW|pinnacle west|Pinnacle Wests|PINNACLE WESTS
PNC,PNC|$PNC|PNC Financial Services|$PNCs|PNCs|PNC FINANCIAL SERVICES|pnc financial services
POOL,POOL|POOLs|$POOL|$POOLs|Pool Corporation|pool corporation|POOL CORPORATION|Pool Corporations|pool corporations|POOL CORPORATIONS
PPG,ppg industries|PPGs|$PPGs|$PPG|PPG INDUSTRIES|PPG Industries|PPG
PPL,PPL|PPLs|$PPL|$PPLs|PPL Corporation|ppl corporation|PPL CORPORATION|PPL Corporations|ppl corporations|PPL CORPORATIONS
PFG,PRINCIPAL FINANCIAL GROUPS|$PFGs|Principal Financial Group|Principal Financial Groups|principal financial groups|PRINCIPAL FINANCIAL|principal financials|PFGs|PRINCIPAL FINANCIAL GROUP|PRINCIPAL FINANCIALS|PFG|principal financial group|Principal Financials|Principal Financial|principal financial|$PFG
PG,PGs|Procter & Gamble|PROCTER & GAMBLES|procter gamble|procter & gamble|PROCTER GAMBLE|PG|Procter Gamble|$PG|PROCTER & GAMBLE|$PGs|Procter & Gambles|PROCTER GAMBLES|procter & gambles|procter gambles|Procter Gambles
PGR,PGR|PGRs|$PGR|$PGRs|Progressive Corporation|progressive corporation|PROGRESSIVE CORPORATION|Progressive Corporations|progressive corporations|PROGRESSIVE CORPORATIONS
PLD,Prologis|prologis|$PLD|PLDs|PROLOGIS|$PLDs|PLD
PRU,PRUs|Prudential Financials|PRU|Prudential Financial|PRUDENTIAL FINANCIALS|prudential financial|PRUDENTIAL FINANCIAL|$PRUs|$PRU|prudential financials
PEG,PEG|PEGs|$PEG|$PEGs|Public Service Enterprise Group|public service enterprise group|PUBLIC SERVICE ENTERPRISE GROUP|Public Service Enterprise Groups|public service enterprise groups|PUBLIC SERVICE ENTERPRISE GROUPS
PTC,PTC Inc.s|ptcs|PTCS|ptc inc.s|PTCs|ptc inc.|PTC INC.S|$PTC|ptc|$PTCs|PTC Inc.|PTC INC.|PTC
PSA,$PSA|$PSAs|Public Storage|public storage|PUBLIC STORAGE|Public Storages|public storages|PUBLIC STORAGES
PHM,pultegroups|PulteGroups|Pulte|PulteGroup|PULTES|PULTE|pultes|PULTEGROUPS|PHMs|PHM|PULTEGROUP|$PHMs|pultegroup|$PHM|Pultes|pulte
QRVO,qorvo|QORVOS|Qorvos|QORVO|Qorvo|QRVOs|QRVO|qorvos|$QRVOs|$QRVO
PWR,Quantas|QUANTAS|$PWRs|PWR|Quanta|quanta services|$PWR|quantas|PWRs|quanta|Quanta Services|QUANTA|QUANTA SERVICES
QCOM,qualcomm|QUALCOMM|QCOM|$QCOMs|Qualcomm|qualcomms|Qualcomms|QCOMs|$QCOM|QUALCOMMS
DGX,quest diagnostics|DGX|Quest Diagnostics|$DGX|QUEST DIAGNOSTICS|DGXs|$DGXs
RL,$RLs|ralph lauren|RALPH LAUREN|RLs|ralph laurens|Ralph Lauren Corporation|ralph lauren corporation|Ralph Lauren|Ralph Lauren Corporations|RALPH LAUREN CORPORATION|Ralph Laurens|RL|RALPH LAUREN CORPORATIONS|ralph lauren corporations|RALPH LAURENS|$RL
RJF,RJFs|Raymond James Financial|$RJFs|RAYMOND JAMES FINANCIALS|RAYMOND JAMES|RAYMOND JAMES FINANCIAL|RJF|raymond james financials|raymond james|Raymond James Financials|$RJF|Raymond James|raymond james financial
RTX,RTX|RTXs|$RTX|$RTXs|RTX Corporation|rtx corporation|RTX CORPORATION|RTX Corporations|rtx corporations|RTX CORPORATIONS
O,$Os|realty income|Realty Incomes|REALTY INCOMES|realty incomes|REALTY INCOME|$O|Realty Income
REG,REGs|$REG|regency centers|$REGs|REGENCY CENTERS|REG|Regency Centers
REGN,REGENERONS|Regenerons|REGN|REGENERON PHARMACEUTICALS|regeneron pharmaceuticals|regenerons|$REGNs|Regeneron Pharmaceuticals|Regeneron|REGNs|REGENERON|regeneron|$REGN
RF,REGIONS FINANCIAL|regions financial corporation|Regions Financial|regions financials|regions financial|Regions Financials|RF|REGIONS FINANCIAL CORPORATIONS|REGIONS FINANCIALS|RFs|REGIONS FINANCIAL CORPORATION|$RFs|regions financial corporations|Regions Financial Corporations|Regions Financial Corporation|$RF
RSG,$RSG|Republic Services|republic services|REPUBLIC SERVICES|$RSGs|RSG|RSGs
RMD,$RMD|RESMED|$RMDs|RMDs|ResMed|RMD|resmed|resmeds|ResMeds|RESMEDS
RVTY,revvitys|$RVTYs|revvity|Revvity|$RVTY|RVTYs|REVVITY|RVTY|Revvitys|REVVITYS
ROK,Rockwell Automations|Rockwell Automation|$ROKs|ROCKWELL AUTOMATION|rockwell automations|rockwell automation|ROCKWELL AUTOMATIONS|$ROK
ROL,"$ROL|ROLLINS|Rollins, Inc.s|Rollins|ROL|rollins, inc.|ROLs|ROLLINS, INC.|Rollins, Inc.|rollins, inc.s|$ROLs|ROLLINS, INC.S|rollins"
ROP,$ROP|roper technologies|$ROPs|ROPER TECHNOLOGIES|Roper Technologies|ROP|ROPs
ROST,ROSTs|$ROSTs|Ross Stores|$ROST|ROST|ross stores|ROSS STORES
RCL,ROYAL CARIBBEAN GROUP|$RCLs|ROYAL CARIBBEAN|royal caribbean|royal caribbeans|RCLs|$RCL|royal caribbean group|Royal Caribbeans|RCL|ROYAL CARIBBEAN GROUPS|Royal Caribbean Groups|royal caribbean groups|ROYAL CARIBBEANS|Royal Caribbean|Royal Caribbean Group
SPGI,s&p global|S&P Globals|SPGIs|S&P Global|$SPGI|S&P GLOBALS|$SPGIs|s&p globals|SPGI|S&P GLOBAL
CRM,CRM|SALESFORCE|$CRMs|salesforce|Salesforce|CRMs|salesforces|SALESFORCES|$CRM|Salesforces
SBAC,sba communications|SBA Communications|$SBAC|SBAC|SBA COMMUNICATIONS|SBACs|$SBACs
SLB,SLBs|Schlumberger|$SLBs|schlumberger|SCHLUMBERGERS|SLB|SCHLUMBERGER|$SLB|Schlumbergers|schlumbergers
STX,seagate technology|Seagate Technology|seagate technologys|Seagate Technologys|$STXs|STXs|SEAGATE TECHNOLOGYS|STX|SEAGATE TECHNOLOGY|$STX
SRE,SRE|SEMPRAS|$SREs|SEMPRA|Sempras|sempra|Sempra|sempras|SREs|$SRE
NOW,SERVICENOWS|$NOW|ServiceNows|servicenows|SERVICENOW|$NOWs|ServiceNow|servicenow
SHW,SHW|sherwin-williams|sherwin williams|SHWs|Sherwin-Williams|$SHW|$SHWs|Sherwin Williams|SHERWIN WILLIAMS|SHERWIN-WILLIAMS
SPG,Simon Property|simon property group|Simon Property Groups|SIMON PROPERTY GROUP|$SPGs|SIMON PROPERTY|SIMON PROPERTYS|Simon Property Group|simon property|Simon Propertys|SIMON PROPERTY GROUPS|SPG|simon property groups|$SPG|simon propertys|SPGs
SWKS,$SWKSs|skyworks solutions|SWKS|SKYWORKS SOLUTIONS|SWKSs|Skyworks Solutions|$SWKS
SJM,$SJM|j.m. smucker company (the)s|JM Smucker|$SJMs|JM Smuckers|j.m. smucker company (the)|jm smuckers|SJMs|J.M. SMUCKER COMPANY (THE)|J.M. SMUCKER COMPANY (THE)S|J.M. Smucker Company (The)|JM SMUCKER|J.M. Smucker Company (The)s|JM SMUCKERS|SJM|jm smucker
SW,SMURFIT WESTROCKS|Smurfit WestRocks|$SWs|smurfit westrocks|$SW|Smurfit WestRock|SMURFIT WESTROCK|smurfit westrock
SNA,SNA|SNAs|$SNA|$SNAs|Snap-on|snap-on|SNAP-ON|Snap-ons|snap-ons|SNAP-ONS
SOLV,SOLVENTUM|SOLV|Solventum|solventums|$SOLV|solventum|$SOLVs|Solventums|SOLVENTUMS|SOLVs
SO,SO|SOs|$SO|$SOs|Southern Company|southern company|SOUTHERN COMPANY|Southern Companys|southern companys|SOUTHERN COMPANYS
LUV,southwest airlines|LUVs|Southwest Airlines|SOUTHWEST AIRLINES|LUV|$LUV|$LUVs
SWK,stanley black deckers|Stanley Black Decker|stanley black & decker|STANLEY BLACK & DECKERS|Stanley Black & Decker|stanley black decker|Stanley Black Deckers|SWKs|stanley black & deckers|STANLEY BLACK DECKERS|STANLEY BLACK DECKER|SWK|$SWKs|$SWK|Stanley Black & Deckers|STANLEY BLACK & DECKER
SBUX,SBUXs|$SBUXs|$SBUX|starbucks|SBUX|Starbucks|STARBUCKS
STT,STATE STREET|STTs|STATE STREET CORPORATIONS|$STTs|state streets|STATE STREETS|State Street Corporation|state street corporation|state street|STT|STATE STREET CORPORATION|state street corporations|State Streets|State Street|$STT|State Street Corporations
STLD,STLD|steel dynamics|STLDs|STEEL DYNAMICS|Steel Dynamics|$STLDs|$STLD
STE,Steris|STERIS|steris|$STEs|$STE|STE|STEs
SYK,$SYK|stryker corporations|STRYKERS|$SYKs|STRYKER|Strykers|strykers|Stryker|stryker|STRYKER CORPORATION|stryker corporation|STRYKER CORPORATIONS|SYK|SYKs|Stryker Corporation|Stryker Corporations
SMCI,SMCIs|supermicro|Supermicros|$SMCI|supermicros|SUPERMICROS|Supermicro|$SMCIs|SUPERMICRO|SMCI
SYF,SYF|$SYF|SYNCHRONY FINANCIAL|synchrony financials|SYNCHRONY FINANCIALS|synchrony financial|Synchrony Financials|$SYFs|SYFs|Synchrony Financial
SNPS,synopsys|$SNPSs|SYNOPSYS|Synopsys|$SNPS|SNPS|SNPSs
SYY,SYY|SYYs|Sysco|$SYYs|sysco|SYSCO|Syscos|$SYY|syscos|SYSCOS
TMUS,T-MOBILE USS|T MOBILE|T-MOBILE US|t mobiles|$TMUS|TMUS|T-Mobile USs|t-mobile uss|t-mobile us|T MOBILES|TMUSs|T Mobiles|T Mobile|T-Mobile US|t mobile|$TMUSs
TROW,T. Rowe Prices|$TROW|T. Rowe Price|TROWs|t. rowe price|t. rowe prices|T. ROWE PRICES|TROW|T. ROWE PRICE|$TROWs
TTWO,take-two interactive|take-two interactives|TAKE-TWO INTERACTIVES|TAKE TWO|TTWOs|TTWO|take twos|TAKE TWOS|Take-Two Interactives|Take-Two Interactive|Take Two|take two|$TTWO|$TTWOs|TAKE-TWO INTERACTIVE|Take Twos
TPR,"TAPESTRY, INC.S|Tapestry|tapestrys|Tapestry, Inc.s|Tapestrys|TAPESTRY, INC.|$TPRs|Tapestry, Inc.|TPR|tapestry|$TPR|TPRs|tapestry, inc.|tapestry, inc.s|TAPESTRY|TAPESTRYS"
TRGP,TRGPs|targa resources|Targa Resources|TRGP|$TRGPs|$TRGP|TARGA RESOURCES
TGT,TARGET CORPORATION|$TGT|target|Target Corporations|target corporation|targets|target corporations|TGTs|TARGETS|TARGET|$TGTs|Target|Targets|TARGET CORPORATIONS|Target Corporation|TGT
TEL,$TEL|te connectivitys|$TELs|TE CONNECTIVITYS|TEL|TELs|TE Connectivitys|TE Connectivity|TE CONNECTIVITY|te connectivity
TDY,teledyne technologies|TDY|TDYs|$TDY|TELEDYNE TECHNOLOGIES|Teledyne Technologies|$TDYs
TFX,TFXs|Teleflexs|TFX|Teleflex|teleflex|TELEFLEX|teleflexs|$TFXs|TELEFLEXS|$TFX
TER,TER|$TERs|$TER|teradyne|teradynes|TERs|Teradyne|TERADYNES|Teradynes|TERADYNE
TSLA,"TESLAS|TSLAs|teslas|Tesla|TSLA|tesla, inc.s|TESLA, INC.S|TESLA|Tesla, Inc.|TESLA, INC.|$TSLAs|tesla, inc.|tesla|Teslas|$TSLA|Tesla, Inc.s"
TXN,TEXAS INSTRUMENTS|TXNs|Texas Instruments|TXN|texas instruments|$TXN|$TXNs
TPL,texas pacific land corporations|Texas Pacific Lands|$TPLs|TPL|$TPL|TEXAS PACIFIC LANDS|Texas Pacific Land|TEXAS PACIFIC LAND CORPORATION|texas pacific land corporation|Texas Pacific Land Corporations|texas pacific lands|TPLs|TEXAS PACIFIC LAND|texas pacific land|Texas Pacific Land Corporation|TEXAS PACIFIC LAND CORPORATIONS
TXT,TXT|textron|TEXTRONS|textrons|TXTs|$TXT|Textron|TEXTRON|Textrons|$TXTs
TMO,thermo fisher scientifics|$TMO|TMO|THERMO FISHER SCIENTIFICS|thermo fisher scientific|THERMO FISHER SCIENTIFIC|Thermo Fisher Scientific|Thermo Fisher Scientifics|TMOs|$TMOs
TJX,TJX|tjxs|TJX COMPANIES|tjx companies|TJXS|$TJX|TJXs|TJX Companies|tjx|$TJXs
TSCO,Tractor Supplys|Tractor Supply|TRACTOR SUPPLY|TRACTOR SUPPLYS|$TSCOs|tractor supply|TSCO|$TSCO|TSCOs|tractor supplys
TT,Trane Technologies|TT|$TTs|trane technologies|TRANE TECHNOLOGIES|TTs|$TT
TDG,transdigm|TDGs|TRANSDIGM GROUP|transdigm group|TransDigm Groups|$TDG|TransDigm Group|TDG|transdigms|TransDigms|$TDGs|TransDigm|TRANSDIGM GROUPS|TRANSDIGMS|transdigm groups|TRANSDIGM
TRV,$TRV|Travelers Companies (The)|TRAVELERS|Travelers Companies (The)s|TRAVELERS COMPANIES (THE)S|travelers companies (the)|travelers|TRAVELERS COMPANIES (THE)|travelers companies (the)s|Travelers|TRV|$TRVs|TRVs
TRMB,Trimbles|trimble|TRIMBLES|TRIMBLE INC.S|TRMBs|TRIMBLE INC.|trimble inc.|Trimble Inc.|Trimble Inc.s|$TRMBs|TRMB|Trimble|TRIMBLE|trimble inc.s|$TRMB|trimbles
TFC,Truist Financials|TRUIST FINANCIAL|$TFCs|TFCs|TFC|truist financials|TRUIST FINANCIALS|$TFC|truist financial|Truist Financial
TYL,Tyler Technologies|TYLER TECHNOLOGIES|$TYLs|TYLs|$TYL|tyler technologies|TYL
TSN,TSN|$TSNs|$TSN|TSNs|TYSON FOODS|tyson foods|Tyson Foods
USB,u.s. bancorp|u.s. bancorps|U.S. BANCORPS|U.S. Bancorp|$USBs|U.S. Bancorps|U.S. BANCORP|$USB
UBER,UBER|UBERs|Uber|$UBERs|ubers|$UBER|UBERS|Ubers|uber
UDR,"$UDRs|UDR, INC.|UDR, INC.S|udrs|UDR, Inc.|UDRs|udr, inc.s|$UDR|UDRS|udr, inc.|udr|UDR, Inc.s|UDR"
ULTA,$ULTA|$ULTAs|ULTA BEAUTYS|ulta beautys|Ulta Beauty|ulta beauty|ULTA BEAUTY|ULTA|ULTAs|Ulta Beautys
UNP,UNPs|union pacific corporation|union pacific corporations|Union Pacific|union pacifics|UNION PACIFICS|UNP|UNION PACIFIC CORPORATIONS|$UNPs|Union Pacific Corporations|Union Pacific Corporation|UNION PACIFIC CORPORATION|UNION PACIFIC|Union Pacifics|$UNP|union pacific
UAL,UNITED AIRLINES HOLDINGS|UALs|$UALs|UAL|$UAL|united airlines holdings|United Airlines Holdings
UPS,UNITED PARCEL SERVICES|UPSs|$UPSs|United Parcel Service|united parcel service|UNITED PARCEL SERVICE|United Parcel Services|united parcel services|$UPS|UPS
URI,URI|United Rentals|UNITED RENTALS|$URI|$URIs|URIs|united rentals
UNH,unitedhealths|UNITEDHEALTH|unitedhealth groups|unitedhealth group|UNH|UnitedHealth Group|UNITEDHEALTH GROUPS|$UNH|UnitedHealth|UNITEDHEALTH GROUP|UNITEDHEALTHS|UnitedHealth Groups|unitedhealth|UnitedHealths|UNHs|$UNHs
UHS,UNIVERSAL HEALTH SERVICES|universal health services|UHSs|Universal Health Services|$UHSs|UHS|$UHS
VLO,valero energy|VLO|Valero Energys|Valero Energy|valero energys|VLOs|$VLO|$VLOs|VALERO ENERGYS|VALERO ENERGY
VTR,VTRs|VTR|VENTAS|Ventas|ventas|$VTRs|$VTR
VLTO,veralto|VLTO|VLTOs|VERALTO|$VLTO|Veralto|veraltos|VERALTOS|$VLTOs|Veraltos
VRSN,VERISIGN|VRSN|Verisigns|$VRSN|verisigns|$VRSNs|VERISIGNS|verisign|VRSNs|Verisign
VRSK,$VRSKs|verisk analytics|$VRSK|Verisk Analytics|VERISK ANALYTICS|VRSK|VRSKs
VZ,$VZ|VERIZONS|verizon|Verizon|VERIZON|Verizons|verizons|VZs|$VZs|VZ
VRTX,VERTEX PHARMACEUTICALS|Vertex Pharmaceuticals|VRTX|vertex pharmaceuticals|$VRTXs|$VRTX|VRTXs
VTRS,$VTRS|VTRS|VIATRIS|$VTRSs|Viatris|VTRSs|viatris
VICI,VICIs|Vici Properties|vici properties|$VICI|$VICIs|VICI|VICI PROPERTIES
V,Visa|visa inc.s|VISAS|Visa Inc.|$V|VISA INC.|visas|$Vs|VISA|Visas|visa|visa inc.|Visa Inc.s|VISA INC.S
VST,VISTRAS|vistra corp.|$VSTs|VISTRA CORP.|vistra corp.s|VISTRA|VSTs|Vistra|Vistra Corp.s|Vistra Corp.|Vistras|vistras|$VST|VST|VISTRA CORP.S|vistra
VMC,VMC|Vulcan Materials|vulcan materials company|VMCs|VULCAN MATERIALS COMPANY|Vulcan Materials Company|Vulcan Materials Companys|vulcan materials companys|$VMC|VULCAN MATERIALS|$VMCs|VULCAN MATERIALS COMPANYS|vulcan materials
WRB,W. R. BERKLEY CORPORATION|W R Berkleys|$WRBs|W. R. BERKLEY CORPORATIONS|W R BERKLEYS|WRB|W. R. Berkley Corporation|W. R. Berkley Corporations|w r berkley|w. r. berkley corporation|WRBs|w. r. berkley corporations|W R BERKLEY|$WRB|w r berkleys|W R Berkley
GWW,w w grainger|W W Graingers|$GWW|W W GRAINGERS|GWW|W W Grainger|$GWWs|W. W. GRAINGER|GWWs|w. w. graingers|W. W. GRAINGERS|W. W. Graingers|W W GRAINGER|w w graingers|w. w. grainger|W. W. Grainger
WAB,WAB|$WAB|Wabtec|wabtec|WABTEC|wabtecs|WABTECS|$WABs|Wabtecs|WABs
WBA,$WBA|walgreens boots alliances|$WBAs|Walgreens Boots Alliance|WBAs|walgreens boots alliance|WALGREENS BOOTS ALLIANCE|WBA|Walgreens Boots Alliances|WALGREENS BOOTS ALLIANCES
WMT,WALMARTS|$WMT|WMTs|WMT|WALMART|Walmarts|walmarts|$WMTs|Walmart|walmart
DIS,$DIS|Disney|Disneys|DIS|WALT DISNEY COMPANY (THE)|walt disney company (the)s|WALT DISNEY COMPANY (THE)S|Walt Disney Company (The)|DISs|DISNEY|Walt Disney Company (The)s|disneys|DISNEYS|walt disney company (the)|$DISs|disney
WBD,warner|Warners|WARNER BROS. DISCOVERY|WARNER|warner bros. discovery|WBDs|Discovery|Warner Bros. Discoverys|warners|Discoverys|discovery|WBD|WARNERS|discoverys|$WBDs|WARNER BROS. DISCOVERYS|DISCOVERYS|$WBD|DISCOVERY|Warner Bros. Discovery|Warner|warner bros. discoverys
WM,WM|WMs|$WM|$WMs|Waste Management|waste management|WASTE MANAGEMENT|Waste Managements|waste managements|WASTE MANAGEMENTS
WAT,WAT|WATs|$WAT|$WATs|Waters Corporation|waters corporation|WATERS CORPORATION|Waters Corporations|waters corporations|WATERS CORPORATIONS
WEC,wec energy|WEC Energys|$WECs|WEC Energy|$WEC|WEC ENERGY GROUP|wec energy groups|WECs|WEC ENERGY GROUPS|WEC ENERGYS|wec energy group|WEC|WEC Energy Groups|WEC Energy Group|WEC ENERGY|wec energys
WFC,WFCs|Wells Fargos|$WFC|wells fargo|Wells Fargo|WELLS FARGO|WFC|$WFCs|wells fargos|WELLS FARGOS
WELL,welltowers|$WELL|WELL|$WELLs|Welltower|welltower|Welltowers|WELLs|WELLTOWERS|WELLTOWER
WST,West Pharmaceutical Services|WEST PHARMACEUTICAL SERVICES|west pharmaceutical services|$WSTs|WSTs|WST|$WST
WDC,$WDC|$WDCs|WESTERN DIGITALS|WDC|WESTERN DIGITAL|WDCs|western digitals|Western Digital|Western Digitals|western digital
WY,$WY|WY|weyerhaeuser|Weyerhaeusers|weyerhaeusers|WEYERHAEUSER|WEYERHAEUSERS|WYs|$WYs|Weyerhaeuser
WMB,WMB|WMBs|$WMB|$WMBs|Williams Companies|williams companies|WILLIAMS COMPANIES
WTW,willis towers watson|willis towers watsons|WTW|WILLIS TOWERS WATSONS|$WTWs|Willis Towers Watson|WILLIS TOWERS WATSON|$WTW|Willis Towers Watsons|WTWs
WYNN,wynn resorts|Wynn Resorts|WYNN RESORTS|$WYNN|WYNNs|WYNN|$WYNNs
XEL,Xcel Energys|XCEL ENERGYS|XELs|XCEL ENERGY|xcel energy|$XELs|Xcel Energy|xcel energys|XEL|$XEL
XYL,$XYLs|xylem inc.|xylem inc.s|Xylem Inc.s|xylems|XYLEM INC.|XYLEM INC.S|XYLEM|XYLs|XYLEMS|Xylem|xylem|Xylem Inc.|XYL|$XYL|Xylems
YUM,YUM|YUMs|$YUM|$YUMs|Yum! Brands|yum! brands|YUM! BRANDS
ZBRA,Zebra Technologies|ZBRAs|zebra technologies|ZEBRA TECHNOLOGIES|$ZBRA|$ZBRAs|ZBRA
ZBH,zimmer biomet|ZBHs|zimmer biomets|ZBH|$ZBHs|ZIMMER BIOMET|Zimmer Biomet|ZIMMER BIOMETS|$ZBH|Zimmer Biomets
ZTS,$ZTS|$ZTSs|Zoetis|ZTSs|ZTS|zoetis|ZOETIS
GME,$GME|$GMEs|GameStop Corporations|gamestop corporation|GameStop|GME|GAMESTOP CORPORATION|GAMESTOP CORPORATIONS|gamestop|GameStop Corporation|GAMESTOPS|gamestop corporations|GameStops|GMEs|GAMESTOP|gamestops
